"id","title","description","original_air_date","directed_by","written_by","season","number_in_season","number_in_series","us_viewers_in_millions","imdb_rating","tmdb_rating"
"414","Smoke on the Daughter","Marge has Lisa take up ballet, mainly to have Lisa live out her own childhood dreams. Lisa then succumbs to peer pressure from her ballet mates and takes up smoking. Meanwhile, Homer and Bart try to start their own beef jerky business.","2008-03-30","Lance Kramer","Billy Kimball","19","15","415","7.10","",""
"415","Papa Don't Leech","When the Simpsons discover that Lurleen Lumpkin is on the skids, Marge reluctantly agrees to take her in and help her find her deadbeat dad who abandoned her 30 years ago.","2008-04-13","Chris Clements","Reid Harrison","19","16","416","6.9","",""
"416","Apocalypse Cow","Bart tries to save the cow he raised for his 4-H club from the slaughterhouse, and in the process winds up getting accidentally engaged to one of Cletus's daughters.","2008-04-27","Nancy Kruse","Jeff Westbrook","19","17","417","7.69","",""
"417","Any Given Sundance","Lisa's documentary about her family is accepted into the Sundance Film Festival. However, her family gets upset with her when they discover that the film is far from flattering.","2008-05-04","Chuck Sheetz","Daniel Chun","19","18","418","6.18","",""
"418","Mona Leaves-a","Homer's mom dies, and as part of her will, she asks him to spread her ashes. However, her request turns out to be part of her final act of rebellion against the system.","2008-05-11","Mike B. Anderson & Ralph Sosa","Joel H. Cohen","19","19","419","6.02","",""
"419","All About Lisa","In a parody of ""All About Eve,"" Lisa stabs Krusty in the back, takes his job, and wins a prestigious award. Meanwhile, Homer and Bart take up coin collecting.","2008-05-18","Steven Dean Moore","John Frink","19","20","420","6.11","",""
"420","Sex, Pies and Idiot Scrapes","Homer and Ned go into business together as bounty hunters, and Marge takes a job at an erotic bakery.","2008-09-28","Lance Kramer","Kevin Curran","20","1","421","9.3","",""
"421","Lost Verizon","Bart gets in trouble with Marge after she finds out that he has Denis Leary's cell phone and is using it to make prank phone calls.","2008-10-05","Raymond S. Persi","John Frink","20","2","422","7.43","",""
"422","Double, Double, Boy in Trouble","Bart trades lives with his multi-millionaire lookalike, but discovers that his lookalike's life isn't all he thought it would be.","2008-10-26","Nancy Kruse","Bill Odenkirk","20","3","423","N/A","",""
"423","Treehouse of Horror XIX","The Simpsons' 19th Halloween Special, with parodies of ""Transformers,"" ""Mad Men,"" and ""It's the Great Pumpkin, Charlie Brown.""","2008-11-02","Bob Anderson","Matt Warburton","20","4","424","12.48","",""
"424","Dangerous Curves","The Simpsons take a Fourth of July vacation to a cabin hotel, which cause Homer and Marge to reminisce about two episodes from their past where they stayed in the cabin.","2008-11-09","Matthew Faughnan","Billy Kimball & Ian Maxtone-Graham","20","5","425","8.16","",""
"425","Homer and Lisa Exchange Cross Words","Homer gets a job breaking up couples, and Lisa becomes an expert crossword puzzle solver, but Homer bets against her in a competition.","2008-11-16","Nancy Kruse","Tim Long","20","6","426","8.52","",""
"426","MyPods and Boomsticks","Homer suspects that the family of Bart's new Muslim friend from Jordan is part of a terrorist plot, and Lisa becomes obsessed with her new MyPod.","2008-11-30","Steven Dean Moore","Marc Wilmore","20","7","427","7.80","",""
"427","The Burns and the Bees","Mr. Burns wins a professional basketball team in a poker game, and the new arena he plans to have Springfield build for the team threatens to interfere with Lisa's new bee sanctuary.","2008-12-07","Mark Kirkland","Stephanie Gillis","20","8","428","6.19","",""
"428","Lisa the Drama Queen","Lisa and her new best friend create their own fantasy world, but Marge doesn't want Lisa to see her friend anymore after she finds out that they're too far gone in it.","2009-01-25","Matthew Nastuk","Brian Kelley","20","9","429","5.75","",""
"429","Take My Life, Please","Homer finds out that he actually won the senior class president election, and he gets an opportunity to find out how his life would have been different if it had happened.","2009-02-15","Steven Dean Moore","Don Payne","20","10","430","6.82","",""
"430","How the Test Was Won","Bart and his fellow underachievers are taken on a ""field trip"" to Capital City so that they can miss the standardized test, and Homer makes sure that nothing bad happens until their insurance goes back into effect.","2009-03-01","Lance Kramer","Michael Price","20","11","431","6.52","",""
"431","No Loan Again, Naturally","The Simpsons lose their house, but Flanders buys it and offers to rent it back to them. But when they turn out to be less-than-reliable renters, Flanders kicks them out.","2009-03-08","Mark Kirkland","Jeff Westbrook","20","12","432","5.99","",""
"432","Gone Maggie Gone","In order to rescue Maggie from a Catholic orphanage, Lisa must solve a series of puzzles to reveal the identity of a gem that will bring peace to Springfield.","2009-03-15","Chris Clements","Billy Kimball & Ian Maxtone-Graham","20","13","433","5.99","",""
"433","In the Name of the Grandfather","The Simpsons take Grandpa to Ireland so he can go back to visit a pub he went to during the war, but Grandpa and Homer get suckered into buying the bar.","2009-03-22","Ralph Sosa","Matt Marshall","20","14","434","6.15","",""
"434","Wedding for Disaster","Homer is kidnapped moments before he and Marge are supposed to re-renew their vows. However, Marge comes to the conclusion that Homer left her at the altar.","2009-03-29","Chuck Sheetz","Joel H. Cohen","20","15","435","6.58","",""
"435","Eeny Teeny Maya Moe","Moe begins dating a little person he met on the Internet, while Maggie is being bullied at the playground next to Moe's where Homer is leaving her.","2009-04-05","Nancy Kruse","John Frink","20","16","436","6.50","",""
"436","The Good, the Sad and the Drugly","Bart gets Milhouse to take the rap for a prank at school, and then blows him off when he falls for a cute 5th grade do-gooder, prompting Milhouse's wrath. Meanwhile, Lisa begins taking ""happy pills"" to improve her negative outlook.","2009-04-19","Rob Oliver","Marc Wilmore","20","17","437","6.50","",""
"437","Father Knows Worst","Homer becomes a ""helicopter parent"" at Springfield Elementary by helping Bart finish a class project and helping Lisa become popular, and Marge finds a secret sauna in their house.","2009-04-26","Matthew Nastuk","Rob LaZebnik","20","18","438","5.94","",""
"438","Waverly Hills, 9-0-2-1-D'oh","The Simpsons set up a fake residence in Waverly Hills so that Bart and Lisa can attend school there.","2009-05-03","Mike Frank Polcino","J. Stewart Burns","20","19","439","6.75","",""
"439","Four Great Women and a Manicure","A series of parodies based on four strong women: Queen Elizabeth, Snow White, Lady MacBeth, and Ayn Rand.","2009-05-10","Raymond S. Persi","Valentina L. Garza","20","20","440","5.16","",""
"440","Coming to Homerica","Townspeople build a wall around Springfield to keep ""immigrants"" from Ogdenville from relocating to their town.","2009-05-17","Steven Dean Moore","Brendan Hay","20","21","441","5.86","",""
"441","Homer the Whopper","A Hollywood studio makes a movie based on Comic Book Guy's comic book character ""Everyman,"" and Homer is cast in the lead. However, Homer's weight fluctuations cause problems for the production.","2009-09-27","Lance Kramer","Seth Rogen & Evan Goldberg","21","1","442","8.31","",""
"442","Bart Gets a 'Z'","When Bart's prank gets Ms. Krabappel fired from Springfield Elementary School, he tries to make it up to her without letting her know that he was responsible.","2009-10-04","Mark Kirkland","Matt Selman","21","2","443","9.32","",""
"443","The Great Wife Hope","Marge takes on the owner of an ultimate fighting league in the ring in order to get the sport banned in Springfield.","2009-10-11","Matthew Faughnan","Carolyn Omine","21","3","444","7.5","",""
"444","Treehouse of Horror XX","Lisa becomes livid with Miss Hoover, and in a series of homages to classic Hitchcock sets out for deadly revenge. Next, Krusty's latest fast-food sandwich transforms news anchor Kent Brockman into an enraged zombie and twenty-eight days later, cannibal zombies have overrun Springfield. In the final frightening fable, Homer accidentally falls through a trapdoor in Moe's tavern and impales himself on the pipes of Moe's microbrewery. Moe serves the barflies a glass of delicious beer flavored with Homer's blood and Homer, now half-man, half-brewing apparatus, returns for ...","2009-10-18","Mike B. Anderson & Matthew Schofield","Daniel Chun","21","4","445","8.59","",""
"445","The Devil Wears Nada","Marge rediscovers her sexuality after appearing in a racy calendar, but Homer is too tired to respond to her advances because he is being worked to death by his new boss, Carl.","2009-11-15","Nancy Kruse","Tim Long","21","5","446","9.04","",""
"446","Pranks and Greens","Bart meets the boy responsible for the greatest prank in Springfield Elementary School history, and discovers that he's now a 19-year-old loser. Meanwhile, Marge is scolded for providing unhealthy snacks for Maggie's play group.","2009-11-22","Chuck Sheetz","Jeff Westbrook","21","6","447","7.03","",""
"447","Rednecks and Broomsticks","Homer becomes an expert on moonshine when he starts hanging out with Cletus after he saves the Simpsons' lives, while Lisa becomes friends with three teenage Wiccans.","2009-11-29","Bob Anderson & Rob Oliver","Kevin Curran","21","7","448","9.02","",""
"448","O Brother, Where Bart Thou?","Bart becomes jealous of Maggie and Lisa's special bond as sisters, so he goes to an orphanage and ""adopts"" a little brother.","2009-12-13","Steven Dean Moore","Matt Selman","21","8","449","7.11","",""
"449","Thursdays with Abie","Homer becomes jealous when a syndicated newspaper columnist begins publishing Grandpa's stories, while Bart is assigned to take care of the class's stuffed sheep for the weekend.","2010-01-03","Mike Frank Polcino","Don Payne & Mitchell H. Glazer","21","9","450","8.65","",""
"450","Once Upon a Time in Springfield","The antagonism between Krusty and the new female co-star forced upon him soon turns to romance, while a headhunter encourages Homer, Lenny and Carl to take a job at another nuclear power plant.","2010-01-10","Matthew Nastuk","Stephanie Gillis","21","10","451","14.62","",""
"451","Million Dollar Maybe","Homer can't tell Marge he won the lottery because he was supposed to be giving a wedding toast when he bought the ticket. But Bart soon finds out where he's hiding the money and begins to blackmail him.","2010-01-31","Chris Clements","Bill Odenkirk","21","11","452","5.11","",""
"452","Boy Meets Curl","Homer and Marge become members of the U.S. Olympic curling team. At the games, Lisa becomes addicted to collecting pins, and Bart tries to save her.","2010-02-14","Chuck Sheetz","Rob LaZebnik","21","12","453","5.87","",""
"453","The Color Yellow","While searching for an admirable ancestor for a class project, Lisa discovers the story of a relative named Eliza Simpson, who may or may not have helped a slave escape to freedom.","2010-02-21","Raymond S. Persi","Billy Kimball & Ian Maxtone-Graham","21","13","454","6.08","",""
"454","Postcards from the Wedge","When Bart unsuccessfully tries to play Homer and Marge against each other, he comes up with a dangerous prank that is sure to get their attention.","2010-03-14","Mark Kirkland","Brian Kelley","21","14","455","5.23","",""
"455","Stealing First Base","Bart gets Springfield Elementary School in legal trouble when he kisses the enigmatic daughter of two lawyers, while Lisa is depressed about being ostracized because she is smart.","2010-03-21","Steven Dean Moore","John Frink","21","15","456","5.69","",""
"456","The Greatest Story Ever D'ohed","Ned takes the Simpsons on a pilgrimage to Israel in order to try and save Homer, but soon discovers that he may not be worth saving.","2010-03-28","Mike Frank Polcino","Kevin Curran","21","16","457","5.69","",""
"457","American History X-cellent","Mr Burns is sent to prison for art theft, where a scary inmate introduces him to religion. Meanwhile Smithers becomes the boss at the plant, and Bart and Lisa try to share an ant farm.","2010-04-11","Bob Anderson","Michael Price","21","17","458","5.65","",""
"458","Chief of Hearts","Homer and Chief Wiggum's new friendship is put to the test when the chief becomes needy after being shot, while Marge suspects that Bart may be dealing drugs.","2010-04-18","Chris Clements","Carolyn Omine & William Wright","21","18","459","5.93","",""
"459","The Squirt and the Whale","After a violent storm, Lisa tries to rally the townspeople and come to the rescue of a beached whale.","2010-04-25","Lance Kramer","Matt Warburton","21","19","460","5.94","",""
"460","To Surveil with Love","Springfield covers the town with surveillance cameras after Homer creates a bomb scare at the train station. Meanwhile, Lisa considers becoming a brunette so that people will take her more seriously.","2010-05-02","Mark Kirkland","Michael Nobori","21","20","461","6.06","",""
"461","Moe Letter Blues","Homer, Apu and Reverend Lovejoy all suspect that Moe may have left with one of their wives after receiving a mysterious letter, but which one is it?","2010-05-09","Matthew Nastuk","Stephanie Gillis","21","21","462","5.66","",""
"462","The Bob Next Door","Bart is convinced that the Simpsons' new friendly, unassuming neighbor is actually Sideshow Bob in disguise.","2010-05-16","Nancy Kruse","John Frink","21","22","463","6.26","",""
"463","Judge Me Tender","Moe's gruff and abrasive personality makes him the perfect hyper-critical judge, and lands him a spot on American Idol. Meanwhile, Homer makes Marge uncomfortable when he starts spending more time at home with Moe's now closed.","2010-05-23","Steven Dean Moore","Dan Greaney & Allen Glazier","21","23","464","5.74","",""
"464","Elementary School Musical","While Homer and Bart accompany Krusty to Oslo so he can receive the Nobel Peace Prize, Marge enrolls Lisa for a week in performing arts camp.","2010-09-26","Mark Kirkland","Tim Long","22","1","465","7.75","",""
"465","Loan-a Lisa","Lisa uses the $50 she receives from Grandpa to give Nelson a microloan to jump-start his bicycle business, but soon comes to regret the decision.","2010-10-03","Matthew Faughnan","Valentina L. Garza","22","2","466","8.59","",""
"466","MoneyBart","Lisa takes over as manager of Bart's baseball team and uses statistical analysis to build a winner, but she takes all of the fun out of it and causes Bart to quit the team.","2010-10-10","Nancy Kruse","Tim Long","22","3","467","6.72","",""
"467","Treehouse of Horror XXI","A Satanic board game causes other popular board games to come to life, Homer and Marge rescue a possible killer and let him on their boat, and a parody of ""Twilight"" where Lisa falls for a young vampire.","2010-11-07","Bob Anderson","Joel H. Cohen","22","4","468","8.19","",""
"468","Lisa Simpson, This Isn't Your Life","When Lisa discovers that Marge was also a model student, she tries to find out where everything changed so that she doesn't repeat her mistakes. Meanwhile, a series of chance accidents cause Bart to replace Nelson as school bully.","2010-11-14","Matthew Nastuk","Joel H. Cohen","22","5","469","8.97","",""
"469","The Fool Monty","After Mr. Burns finds out that he is dying, he has an accident and loses his memory, and all the townspeople use the situation to get their revenge on him.","2010-11-21","Steven Dean Moore","Michael Price","22","6","470","6.58","",""
"470","How Munched Is That Birdie in the Window?","Bart adopts a carrier pigeon, but Santa's Little Helper eats it.","2010-11-28","Mike Frank Polcino","Kevin Curran","22","7","471","9.38","",""
"471","The Fight Before Christmas","Marge gets depressed when the rest of the family does not get into the holiday spirit, and she writes a letter, hoping to get some help; Mr. Burns and Moe's new friend delay the Simpsons as they attempt to travel to Hawaii for the holiday.","2010-12-05","Bob Anderson & Matthew Schofield","Deb Lacusta & Dan Castellaneta","22","8","472","9.54","",""
"472","Donnie Fatso","Homer goes to prison after attempting to get out of a series of fines with a bribe, but agrees to a reduced sentence by informing on Fat Tony for the FBI.","2010-12-12","Ralph Sosa","Chris Cluess","22","9","473","7.18","",""
"473","Moms I'd Like to Forget","Bart sets out to uncover the origins of a sword-shaped scar on his hand","2011-01-09","Chris Clements","Brian Kelley","22","10","474","12.6","",""
"474","Flaming Moe","Moe tries to keep his 'straightness' a secret when he opens a gay bar","2011-01-16","Chuck Sheetz","Matt Selman","22","11","475","6.47","",""
"475","Homer the Father","Homer picks up parenting advice from an 80s sitcom","2011-01-23","Mark Kirkland","Joel H. Cohen","22","12","476","6.50","",""
"476","The Blue and the Gray","Moe employs Homer as his wing man, only to find Homer has more luck with the ladies than he does; Marge finds her first gray hair.","2011-02-13","Bob Anderson","Rob LaZebnik","22","13","477","5.61","",""
"477","Angry Dad: The Movie","Bart's ""Angry Dad"" character gets his own movie, but when the movie starts winning awards, Homer tries to hog all the credit.","2011-02-20","Matthew Nastuk","John Frink","22","14","478","6.35","",""
"478","The Scorpion's Tale","Lisa's school project leads to the discovery of a new drug that makes the elderly less cranky and more tolerable.","2011-03-06","Matthew Schofield","Billy Kimball & Ian Maxtone-Graham","22","15","479","6.20","",""
"479","A Midsummer's Nice Dream","After Tommy Chong walks away from the Cheech & Chong reunion tour, Homer goes on the road as his replacement. Meanwhile, Marge tries to help the cat lady with her hoarding problem.","2011-03-13","Steven Dean Moore","Deb Lacusta & Dan Castellaneta","22","16","480","5.44","",""
"480","Love Is a Many Strangled Thing","The tables are turned for Homer and Bart after a therapist cures Homer of his violent tendencies toward the boy.","2011-03-27","Mike Frank Polcino","Bill Odenkirk","22","17","481","6.14","",""
"481","The Great Simpsina","The family is greeted by folk singer Ewell Freestone when they visit a peach farm, but when Marge goes overboard with peach-inspired dishes, Lisa and Bart try to get rid of the unwanted fruit. Later, Lisa becomes a magician's apprentice to the legendary Great Raymondo who helps her develop her craft, but a schoolgirl crush clouds her judgment when she is coaxed into revealing the Great Raymondo's most famous magic trick to his phony archnemesis. But when the rival magician's act takes a risky turn, the Great Raymondo has one last trick up his sleeve and stages ...","2011-04-10","Chris Clements","Matt Warburton","22","18","482","5.00","",""
"482","The Real Housewives of Fat Tony","Selma falls in love with and marries Fat Tony, and Lisa discovers that Bart has a skill for finding truffles.","2011-05-01","Lance Kramer","Dick Blasucci","22","19","483","6.10","",""
"483","Homer Scissorhands","Homer opens his own salon after he discovers that he has skills as a hair stylist, and Lisa becomes suspicious after Millhouse gets a 5th grade girlfriend.","2011-05-08","Mark Kirkland","Peter Gaffney & Steve Viksten","22","20","484","5.48","",""
"484","500 Keys","While Homer takes the Duff Blimp for a joyride, Lisa discovers a secret room in the basement of Sprinfield Elementary School.","2011-05-15","Bob Anderson","John Frink","22","21","485","6.00","",""
"485","The Ned-Liest Catch","When Krabbapple gets suspended and put into detention after hurting Bart, Bart tries to break her out, but it ends that Flanders is the one that saves her life. But soon, Ned figures out that Edna has also dated other men such as Homer, Skinner Comic Book Guy and Aerosmith drummer Joey Kramer.","2011-05-22","Chuck Sheetz","Jeff Westbrook","22","22","486","5.25","",""
"486","The Falcon and the D'ohman","Homer tries to befriend the new security guard at the nuclear power plant, who for some unknown reason isn't interested and keeps having flashbacks to his violent past as a government agent.","2011-09-25","Matthew Nastuk","Justin Hurwitz","23","1","487","8.08","",""
"487","Bart Stops to Smell the Roosevelts","Superintendant Chalmers gets fired after using unconventional methods to teach Bart and his friends about Teddy Roosevelt, so the boys take over Springfield Elementary until he gets his old job back.","2011-10-02","Steven Dean Moore","Tim Long","23","2","488","6.19","",""
"488","Treehouse of Horror XXII","Homer takes a dangerous dive into an isolated canyon on Candy Peak, but when a crashing boulder traps his arm, he channels Aron Ralston to save himself. In ""The Diving Bell and Butterball,"" the first of three hair-raising Halloween tales, a venomous spider bite leaves Homer paralyzed, but when Lisa discovers Homer's ability to communicate through natural gases, he is able to express his love for Marge. The killer spells continue in ""Dial D for Diddly,"" when Ned Flanders, devout preacher by day, transforms into a cold-blooded vigilante by night. In the final terrifying...","2011-10-30","Matthew Faughnan","Carolyn Omine","23","3","489","8.10","",""
"489","Replaceable You","Homer is betrayed by his new assistant at work and winds up working for her, and Bart and Martin create a science project that brings joy to the seniors at the Springfield Retirement Castle.","2011-11-06","Mark Kirkland","Stephanie Gillis","23","4","490","7.97","",""
"490","The Food Wife","Homer is worried that he is no longer the cool parent after Marge, Bart, and Lisa become foodies.","2011-11-13","Timothy Bailey","Matt Selman","23","5","491","7.50","",""
"491","The Book Job","Homer and Bart put together a team to author the next successful tween novel franchise and make a million dollars, but discover that they need Lisa's help to pull it off.","2011-11-20","Bob Anderson","Dan Vebber","23","6","492","5.77","",""
"492","The Man in the Blue Flannel Pants","Homer gets promoted to accounts manager at the nuclear power plant, but soon learns the job robs you of your soul. Meanwhile, Lisa introduces Bart to ""Little Women.""","2011-11-27","Steven Dean Moore","Jeff Westbrook","23","7","493","5.61","",""
"493","The Ten-Per-Cent Solution","Krusty the Clown is stuck in a rut when the television network pulls his show from the air and his talent agency drops him as a client. But when the Simpsons introduce him to seasoned agent Annie, they are surprised to learn that Annie was Krusty's very first agent. Despite their rocky relationship, Annie is convinced to re-sign Krusty and craft his career comeback. But when Krusty's retro comedy show reboot is deemed a critical success, Krusty must decide to stay with his agent or side with the network executives.","2011-12-04","Mike Frank Polcino","Deb Lacusta & Dan Castellaneta","23","8","494","9.01","",""
"494","Holidays of Future Passed","Thirty years in the future the Simpsons get together for Christmas. Bart and Lisa are struggling as parents to connect with their children.","2011-12-11","Rob Oliver","J. Stewart Burns","23","9","495","6.43","",""
"495","Politically Inept, with Homer Simpson","Homer becomes the host of a popular political talk show, starts an ""everyman"" movement in Springfield, and ends up hand-picking Ted Nugent as the Republican nominee for president.","2012-01-08","Mark Kirkland","John Frink","23","10","496","5.07","",""
"496","The D'oh-cial Network","Lisa creates an online social network that becomes a Springfield obsession, but later becomes a victim of user backlash.","2012-01-15","Chris Clements","J. Stewart Burns","23","11","497","11.48","",""
"497","Moe Goes from Rags to Riches","While Bart tries to regain Milhouse's friendship, Moe's bar cleaning rag tells his unlikely story of how he got to where he is today.","2012-01-29","Bob Anderson","Tim Long","23","12","498","5.12","",""
"498","The Daughter Also Rises","Lisa falls for an adventurous, Hemingway-esque young boy, while Bart and Millhouse set out to bust all the myths that surround Springfield Elementary School.","2012-02-12","Chuck Sheetz","Rob LaZebnik","23","13","499","4.26","",""
"499","At Long Last Leave","The town votes to kick the Simpsons out of Springfield, so they decide to move to the Outlands.","2012-02-19","Matthew Nastuk","Michael Price","23","14","500","5.77","",""
"500","Exit Through the Kwik-E-Mart","Bart becomes an urban vandal and decides to use Homer as his inspiration, while Apu hits hard times when a new trendy market takes all the Kwik-E-Mart customers.","2012-03-04","Steven Dean Moore","Marc Wilmore","23","15","501","5.09","",""
"501","How I Wet Your Mother","The family break into Homer's dreams Inception-style after he begins wetting the bed.","2012-03-11","Lance Kramer","Billy Kimball & Ian Maxtone-Graham","23","16","502","4.97","",""
"502","Them, Robot","Mr. Burns replaces all of the nuclear plant employees with robots--except for Homer, who stays along to supervise the robots and serve as a human scapegoat.","2012-03-18","Mike Frank Polcino","Michael Price","23","17","503","5.25","",""
"503","Beware My Cheating Bart","Jimbo's girlfriend cheats on Jimbo with Bart, and Homer uses his new treadmill to catch up on a TV series about plane crash victims stranded on an island.","2012-04-15","Mark Kirkland","Ben Joseph","23","18","504","4.86","",""
"504","A Totally Fun Thing That Bart Will Never Do Again","Bart gets the family to take the cruise vacation of his dreams, and then launches a fiendish plot to ensure that it goes on forever.","2012-04-29","Chris Clements","Matt Warburton","23","19","505","5.00","",""
"505","The Spy Who Learned Me","Homer uses his paid sick leave to improve his marriage, with the help of his imaginary friend, super-spy Stradivarius Cain. Meanwhile, Bart gets revenge on Nelson for stealing everyone's lunch money.","2012-05-06","Bob Anderson","Marc Wilmore","23","20","506","4.84","",""
"506","Ned 'n' Edna's Blend Agenda","After Ned and Edna announce publicly that they were secretly married, the two clash over how to raise Rod and Todd.","2012-05-13","Chuck Sheetz","Jeff Westbrook","23","21","507","4.07","",""
"507","Lisa Goes Gaga","After a desperate attempt by Lisa to become more popular backfires, Lady Gaga shows up in Springfield to help her with her self-esteem.","2012-05-20","Matthew Schofield","Tim Long","23","22","508","4.82","",""
"508","Moonshine River","The Simpsons go back to New York City so that Bart can find his old girlfriend Mary Spuckler. Meanwhile, Lisa and Marge spend the trip trying to take in New York culture on the cheap.","2012-09-30","Bob Anderson","Tim Long","24","1","509","8.08","",""
"509","Treehouse of Horror XXIII","A black hole threatens to swallow Springfield, Homer tries to find the source of paranormal activity, and a ""Back to the Future"" parody in which Bart keeps Marge from marrying Homer.","2012-10-07","Steven Dean Moore","David Mandel & Brian Kelley","24","2","510","6.57","",""
"510","Adventures in Baby-Getting","Marge decides that she wants another baby, but Homer doesn't want one. Meanwhile, Bart tries to figure out where Lisa is secretly going after school.","2012-11-04","Rob Oliver","Bill Odenkirk","24","3","511","5.65","",""
"511","Gone Abie Gone","Homer invests Lisa's college fund on an online poker site. Meanwhile Abe disappears from the Springfield Retirement Castle.","2012-11-11","Matthew Nastuk","Joel H. Cohen","24","4","512","6.86","",""
"512","Penny-Wiseguys","Fat Tony has to serve jury duty, and his clerk, Dan, must run the mafia while he's gone. Meanwhile, Lisa considers making a disgusting change to her diet.","2012-11-18","Mark Kirkland","Michael Price","24","5","513","5.06","",""
"513","A Tree Grows in Springfield","Homer becomes addicted to his new tablet computer. But when it is destroyed Homer becomes despondent, until he finds and provides hope for Springfield in the most unlikely place.","2012-11-25","Timothy Bailey","Stephanie Gillis","24","6","514","7.46","",""
"514","The Day the Earth Stood Cool","Homer befriends a hipster and invites his family to move in next door. However, their friendship soon sours as Springfield is transformed into a haven for ""coolness.""","2012-12-09","Matthew Faughnan","Matt Selman","24","7","515","7.44","",""
"515","To Cur with Love","When Homer shows no remorse over almost losing Santa's Little Helper, Grandpa tells everyone the story of Homer's childhood dog.","2012-12-16","Steven Dean Moore","Carolyn Omine","24","8","516","3.77","",""
"516","Homer Goes to Prep School","Homer joins the ""Springfield Preppers,"" an off-the-grid survivalist group whose leader has set up a top-secret retreat outside of town to prepare for the end of the world.","2013-01-06","Mark Kirkland","Brian Kelley","24","9","517","8.97","",""
"517","A Test Before Trying","The fate of Springfield Elementary rests on Bart and his test scores, and Homer finds way to make money with his own parking meter.","2013-01-13","Chris Clements","Joel H. Cohen","24","10","518","5.04","",""
"518","The Changing of the Guardian","Homer and Marge find the perfect young couple and ask them to be the guardians for the kids in case something happens to them.","2013-01-27","Bob Anderson","Rob LaZebnik","24","11","519","5.23","",""
"519","Love Is a Many-Splintered Thing","Mary Spuckler returns to Springfield and begins a relationship with Bart. However, Bart treats her with disrespect.","2013-02-10","Mike Frank Polcino","Tim Long","24","12","520","4.19","",""
"520","Hardly Kirk-ing","Bart poses Millhouse as his father so that they can do adult activities, and Homer becomes skilled at finding lost objects thanks to Highlights magazine.","2013-02-17","Matthew Nastuk","Tom Gammill & Max Pross","24","13","521","4.57","",""
"521","Gorgeous Grampa","Homer's obsession with the TV show ""Storage Battles"" leads the family to discover Grampa's past identity as ""Gorgeous Godfrey,"" the most feared, villainous man in pro-wrestling history","2013-03-03","Chuck Sheetz","Matt Selman","24","14","522","4.66","",""
"522","Black Eyed, Please","Ned gets fed up with Homer and punches him in the eye, and Lisa is a bullying victim from her new substitute teacher.","2013-03-10","Matthew Schofield","John Frink","24","15","523","4.85","",""
"523","Dark Knight Court","When Bart is accused of a prank he says he didn't commit, Lisa is forced to defend him in youth court, with former attorney general Janet Reno serving as judge.","2013-03-17","Mark Kirkland","Billy Kimball & Ian Maxtone-Graham","24","16","524","4.89","",""
"524","What Animated Women Want","Homer contemplates his next move after getting in the doghouse with Marge, while Millhouse's new Stanley Kowalski-inspired persona makes him suddenly attractive to Lisa.","2013-04-14","Steven Dean Moore","J. Stewart Burns","24","17","525","4.11","",""
"525","Pulpit Friction","Springfield gets a bedbug scare, the new assistant pastor at church appoints Homer as a deacon, and Marge loses her wedding dress.","2013-04-28","Chris Clements","Bill Odenkirk","24","18","526","4.54","",""
"526","Whiskey Business","A new makeover could put Moe in a position to make big money, Bart fails at his job of taking care of Grandpa, and Lisa fights the shameless exploitation of Bleeding Gums Murphy's likeness.","2013-05-05","Matthew Nastuk","Valentina L. Garza","24","19","527","4.43","",""
"527","The Fabulous Faker Boy","Bart takes piano lessons from a cute Russian girl, Marge tries to teach the girl's father how to drive, and Homer loses the last of his hair.","2013-05-12","Bob Anderson","Brian McConnachie","24","20","528","4.16","",""
"528","The Saga of Carl","Homer, Moe, Lenny and Carl win the lottery, but Carl steals the ticket and leaves with the money for Iceland.","2013-05-19","Chuck Sheetz","Eric Kaplan","24","21","529","4.01","",""
"529","Dangers on a Train","When Marge tries to buy Homer snack cakes for their anniversary, she winds up meeting a married man who shares a common love of British television.","2013-05-19","Steven Dean Moore","Michael Price","24","22","530","4.52","",""
"530","Homerland","Homer returns from a nuclear power convention a changed man, and Lisa begins to suspect that he has become a domestic terrorist.","2013-09-29","Bob Anderson","Stephanie Gillis","25","1","531","6.37","",""
"531","Treehouse of Horror XXIV","The scariest Simpsons Halloween show yet, featuring an opening by Guillermo Del Toro.","2013-10-06","Rob Oliver","Jeff Westbrook","25","2","532","6.42","",""
"532","Four Regrettings and a Funeral","While attending a funeral, Homer, Marge, Mr. Burns, and Kent Brockman recall a past regret and try to find a way to rectify the situation.","2013-11-03","Mark Kirkland","Marc Wilmore","25","3","533","5.43","",""
"533","YOLO","Homer is stunned to learn he'll only live once. A pen pal from his youth helps him live that life to its fullest. Meanwhile Springfield Elementary institutes an honor code.","2013-11-10","Mike Frank Polcino","Michael Nobori","25","4","534","4.20","",""
"534","Labor Pains","Homer helps take care of a child that he delivered in an elevator, and Lisa tries to organize the Springfield Atoms cheerleaders against the team's greedy owner.","2013-11-17","Matthew Faughnan","Don Payne & Mitchell H. Glazer","25","5","535","4.08","",""
"535","The Kid Is All Right","Lisa is distressed when she discovers that her new friend is a Republican, and they wind up running against each other as Springfield Elementary's second grade representative.","2013-11-24","Mark Kirkland","Tim Long","25","6","536","6.78","",""
